imageName X Y Z Omega Phi Kappa
100_0006_0011.JPG 7504873.210022 5789743.088054 244.314020 -0.163127 0.033883 -90.258374
100_0006_0016.JPG 7505028.010476 5789741.195240 244.278499 -0.315465 -0.068805 -84.882776
100_0006_0021.JPG 7505187.038017 5789739.402874 244.180870 -0.362855 0.173295 -86.517441
100_0006_0026.JPG 7505346.210911 5789737.739395 244.311192 -0.433842 0.224818 -87.315831
100_0006_0031.JPG 7505505.349052 5789735.934686 244.347417 -0.433051 0.277956 -87.105878
100_0006_0036.JPG 7505663.661202 5789733.788749 244.251957 -0.374396 0.410700 -86.309560
100_0006_0041.JPG 7505823.495248 5789732.512801 244.271743 -0.456017 0.263986 -85.872870
100_0006_0046.JPG 7505983.018785 5789730.797488 244.305904 -0.414520 0.168012 -86.371856
100_0006_0051.JPG 7506141.578148 5789728.510658 244.287898 -0.359649 0.221880 -84.274478
100_0006_0056.JPG 7506141.716413 5789658.839550 244.323097 -0.563162 -0.283604 170.019431
100_0006_0061.JPG 7506055.251423 5789654.941293 244.184271 -0.503157 -0.352442 90.358428
100_0006_0066.JPG 7505911.684733 5789657.968698 244.190948 -0.360522 -0.330204 89.560920
100_0006_0071.JPG 7505785.447448 5789656.029955 244.315989 -0.237135 -0.330403 88.779669
100_0006_0076.JPG 7505639.724115 5789662.368580 244.179594 -0.139910 -0.610780 88.712719
100_0006_0081.JPG 7505507.393756 5789659.003867 244.229558 -0.049239 -0.608231 87.376415
100_0006_0086.JPG 7505380.052463 5789661.492322 244.254139 -0.039090 -0.705011 88.014426
100_0006_0091.JPG 7505233.336699 5789666.504293 244.263289 -0.045168 -0.787219 87.447158
100_0006_0096.JPG 7505080.585232 5789667.104831 244.278739 0.007318 -0.769829 88.283578
100_0006_0101.JPG 7504921.659045 5789670.817778 244.288565 0.054931 -0.617223 89.126166
100_0006_0106.JPG 7504939.616554 5789603.770229 242.865467 -0.428070 0.106348 -147.563462
100_0006_0111.JPG 7505050.383495 5789595.896796 244.215253 -0.553272 -0.119247 -84.866188
100_0006_0116.JPG 7505208.810659 5789595.891163 244.227764 -0.493220 -0.243748 -85.797503
100_0006_0121.JPG 7505367.483003 5789593.990337 244.264323 -0.373285 -0.295774 -84.195513
100_0006_0126.JPG 7505526.475800 5789592.277669 244.197357 -0.493227 -0.300168 -84.147014
100_0006_0131.JPG 7505685.354402 5789590.648276 244.370318 -0.584263 -0.177135 -82.784647
100_0006_0136.JPG 7505843.939601 5789589.277487 244.337953 -0.524074 -0.081510 -84.884133
100_0006_0141.JPG 7506001.417191 5789587.272139 244.304157 -0.496845 -0.254012 -80.542680
100_0006_0146.JPG 7506119.617993 5789582.531012 244.196650 -0.759169 -0.074951 -163.478936
100_0006_0151.JPG 7506080.084988 5789513.343278 244.328347 -0.465421 0.124601 93.770881
100_0006_0156.JPG 7505958.795088 5789501.992407 245.954012 -0.257898 0.161483 92.330869
100_0006_0161.JPG 7505804.500641 5789517.402851 244.170376 0.085356 0.304840 92.373460
100_0006_0166.JPG 7505647.361827 5789518.925165 244.166624 0.172540 0.294569 88.841378
100_0006_0171.JPG 7505500.152537 5789519.117592 244.237522 0.187865 -0.102530 88.738863
100_0006_0176.JPG 7505355.525277 5789520.319098 244.255461 0.200676 -0.397563 88.675449
100_0006_0181.JPG 7505203.732920 5789522.779652 244.305750 0.113349 -0.565520 88.616891
100_0006_0186.JPG 7505046.022178 5789524.194813 244.487428 0.126011 -0.585330 90.065645
100_0006_0191.JPG 7505001.514122 5789492.120328 244.338373 -0.173737 -0.092414 -146.930965
100_0006_0196.JPG 7505095.206551 5789454.104124 244.391760 -0.371709 -0.181843 -87.099975
100_0006_0201.JPG 7505253.662191 5789451.660868 244.239473 -0.329899 -0.263570 -86.940358
100_0006_0206.JPG 7505411.609155 5789450.001963 244.263164 -0.408965 -0.246417 -86.566463
100_0006_0211.JPG 7505570.017889 5789448.404657 244.330955 -0.472710 -0.104424 -84.504592
100_0006_0216.JPG 7505728.300295 5789447.045121 244.249335 -0.409410 0.005956 -85.109155
100_0006_0221.JPG 7505887.432778 5789445.105935 244.287929 -0.354320 0.021538 -84.333396
100_0006_0226.JPG 7506045.248247 5789442.792097 244.229695 -0.311750 -0.096142 -83.789900
100_0006_0231.JPG 7506060.281245 5789377.569902 244.336291 -0.638438 -0.415227 168.656691
100_0006_0236.JPG 7505967.175343 5789372.298223 244.283454 -0.375252 0.010769 91.454173
100_0006_0241.JPG 7505811.781416 5789373.473962 244.188232 -0.027549 0.061672 91.146915
100_0006_0246.JPG 7505668.970397 5789370.872794 244.215485 0.107739 0.036140 92.072454
100_0006_0251.JPG 7505541.688629 5789373.218175 244.157839 0.098321 0.294876 89.688055
100_0007_0003.JPG 7505459.463171 5789368.652815 243.593378 0.391988 0.910156 97.109833
100_0007_0008.JPG 7505317.503028 5789376.526898 243.546719 0.072079 0.101782 96.025500
100_0007_0013.JPG 7505157.849405 5789381.130408 243.642972 0.323730 -0.367918 95.765688
100_0007_0018.JPG 7505065.554829 5789374.924195 243.688098 0.341363 -0.254066 -144.918904
100_0007_0023.JPG 7505135.181474 5789309.588403 243.715288 -0.343487 0.349195 -80.734132
100_0007_0028.JPG 7505294.005541 5789307.771110 243.656743 -0.703847 0.084709 -81.678955
100_0007_0033.JPG 7505452.808594 5789306.320367 243.636482 -0.929774 0.079074 -82.875849
100_0007_0038.JPG 7505611.499629 5789304.809998 243.618095 -1.071826 0.098408 -84.367085
100_0007_0043.JPG 7505770.467050 5789303.005889 243.667836 -1.097396 0.080369 -84.768734
100_0007_0048.JPG 7505929.106966 5789301.181445 243.663764 -0.987665 0.113779 -85.090827
100_0007_0053.JPG 7506035.445764 5789292.703780 243.731841 -1.012421 0.124660 173.953664
100_0007_0058.JPG 7505996.453487 5789223.564613 243.665777 -0.362296 -0.089126 90.695549
100_0007_0063.JPG 7505879.732837 5789222.322333 243.442093 -0.058272 -0.163431 88.296232
100_0007_0068.JPG 7505734.007178 5789231.030319 243.606629 0.245829 -0.265061 88.647354
100_0007_0073.JPG 7505580.309231 5789231.247917 243.638208 0.324519 -0.318554 89.434664
100_0007_0078.JPG 7505431.741460 5789234.495604 243.669675 0.178469 -0.404721 89.151227
100_0007_0083.JPG 7505271.355763 5789236.907017 243.739807 0.121917 -0.448080 89.157996
100_0007_0088.JPG 7505140.418807 5789238.226229 243.722913 0.401645 -0.272104 108.653589
100_0007_0093.JPG 7505191.179417 5789166.329641 243.715201 -0.510714 -0.161536 -90.471709
100_0007_0098.JPG 7505346.061962 5789164.412018 243.685051 -0.433662 -0.259417 -85.966476
100_0007_0103.JPG 7505504.559613 5789162.461278 243.627193 -0.429423 -0.302375 -86.519583
100_0007_0108.JPG 7505663.587341 5789160.814735 243.704634 -0.450240 -0.184195 -86.500123
100_0007_0113.JPG 7505821.896776 5789159.055596 243.668944 -0.478180 -0.127560 -85.605288
100_0007_0118.JPG 7505980.614617 5789157.737201 243.833429 -0.493233 -0.066374 -87.632198
100_0007_0123.JPG 7505910.612424 5789131.379464 243.644365 -0.478253 -0.361774 108.451285
100_0007_0128.JPG 7505767.262252 5789088.412947 243.749693 -0.136001 0.060558 108.987752
100_0007_0133.JPG 7505658.381608 5789079.230494 243.665093 0.140348 0.334166 90.885869
100_0007_0138.JPG 7505526.922649 5789085.585062 243.616838 0.144372 0.254893 90.913506
100_0007_0143.JPG 7505389.067834 5789089.580560 243.664592 0.122306 0.240803 91.116861
100_0007_0148.JPG 7505271.333936 5789075.109004 243.592808 0.310657 0.182059 91.077826
100_0007_0153.JPG 7505242.959229 5789050.320569 243.671073 -0.037289 0.357458 -145.887508
100_0007_0158.JPG 7505340.602601 5789021.149911 243.726996 -0.480539 -0.042998 -85.109257
100_0007_0163.JPG 7505442.647916 5789026.485635 243.596826 44.434235 -8.452665 -6.881994
100_0007_0168.JPG 7505470.170724 5789116.915486 243.720484 44.953964 -4.432494 -3.415037
100_0007_0173.JPG 7505486.239051 5789215.080672 243.801925 45.179057 -3.671668 -3.136022
100_0007_0178.JPG 7505504.570862 5789339.296325 243.733244 45.474038 -3.872494 -3.278923
100_0007_0183.JPG 7505525.434255 5789458.132680 243.679934 45.509578 -4.373810 -3.717890
100_0007_0188.JPG 7505551.873151 5789601.872489 243.754754 45.512689 -4.121900 -3.565457
